T_00,705,ATTR2_22,ATTR3_08_PADDING,2088687469188
T_09,705,ATTR2_35,ATTR3_16_PADDING,2079986743794
T_17,184,ATTR2_04,ATTR3_00_PADDING,2047294924465
T_02,464,ATTR2_05,ATTR3_30_PADDING,2079925732728
T_12,828,ATTR2_29,ATTR3_10_PADDING,2054514460010
T_02,386,ATTR2_39,ATTR3_04_PADDING,2078195052900
T_00,105,ATTR2_02,ATTR3_02_PADDING,2059647948417
T_17,594,ATTR2_20,ATTR3_00_PADDING,2072444156739
T_01,677,ATTR2_44,ATTR3_45_PADDING,2053565014979
T_02,310,ATTR2_26,ATTR3_16_PADDING,2053178653118
T_06,333,ATTR2_04,ATTR3_22_PADDING,2053452923066
T_04,589,ATTR2_47,ATTR3_11_PADDING,2074424517780
T_00,154,ATTR2_28,ATTR3_26_PADDING,2087601835891
T_00,918,ATTR2_01,ATTR3_35_PADDING,2078848558179
T_00,465,ATTR2_19,ATTR3_09_PADDING,2072724945148
T_06,385,ATTR2_15,ATTR3_00_PADDING,2054307736754
T_00,167,ATTR2_03,ATTR3_22_PADDING,2087981798015
T_00,359,ATTR2_20,ATTR3_05_PADDING,2069766743761
T_00,606,ATTR2_16,ATTR3_03_PADDING,2058968319022
T_01,554,ATTR2_10,ATTR3_21_PADDING,2060435154349
T_00,287,ATTR2_28,ATTR3_02_PADDING,2087789708046
T_11,483,ATTR2_22,ATTR3_05_PADDING,2042143678523
T_00,813,ATTR2_29,ATTR3_45_PADDING,2091677826114
T_15,712,ATTR2_21,ATTR3_25_PADDING,2088035788109
T_00,55,ATTR2_12,ATTR3_41_PADDING,2064628673436
T_08,356,ATTR2_00,ATTR3_01_PADDING,2045001853011
T_04,831,ATTR2_00,ATTR3_21_PADDING,2046942815199
T_03,816,ATTR2_02,ATTR3_10_PADDING,2056223279767
T_05,52,ATTR2_34,ATTR3_01_PADDING,2089594412323
T_00,882,ATTR2_18,ATTR3_11_PADDING,2064813536214
T_05,828,ATTR2_48,ATTR3_06_PADDING,2052587578808
T_00,755,ATTR2_21,ATTR3_46_PADDING,2050265259706
T_01,486,ATTR2_44,ATTR3_05_PADDING,2089930775670
T_00,716,ATTR2_25,ATTR3_26_PADDING,2059748969492
T_14,62,ATTR2_07,ATTR3_00_PADDING,2089956765117
T_01,759,ATTR2_25,ATTR3_26_PADDING,2070256445721
T_02,463,ATTR2_20,ATTR3_29_PADDING,2087996224893
T_14,67,ATTR2_15,ATTR3_40_PADDING,2077001617230
T_01,598,ATTR2_34,ATTR3_11_PADDING,2091376548035
T_00,51,ATTR2_26,ATTR3_21_PADDING,2066013579495
T_04,781,ATTR2_07,ATTR3_01_PADDING,2082558945308
T_14,302,ATTR2_29,ATTR3_01_PADDING,2047993138593
T_05,646,ATTR2_38,ATTR3_46_PADDING,2057864348002
T_05,430,ATTR2_39,ATTR3_20_PADDING,2055061766424
T_01,424,ATTR2_41,ATTR3_08_PADDING,2058181685922
T_01,497,ATTR2_05,ATTR3_47_PADDING,2077201059884
T_06,298,ATTR2_19,ATTR3_02_PADDING,2064398713673
T_01,743,ATTR2_37,ATTR3_00_PADDING,2069915454924
T_01,650,ATTR2_42,ATTR3_45_PADDING,2080721692477
T_00,27,ATTR2_33,ATTR3_00_PADDING,2085006080571
T_01,589,ATTR2_10,ATTR3_34_PADDING,2054025603479
T_01,973,ATTR2_26,ATTR3_05_PADDING,2063896657025
T_18,798,ATTR2_10,ATTR3_08_PADDING,2068708294558
T_00,417,ATTR2_12,ATTR3_02_PADDING,2076006997884
T_00,991,ATTR2_00,ATTR3_05_PADDING,2069057776915
T_00,4,ATTR2_07,ATTR3_09_PADDING,2071406959411
T_01,591,ATTR2_49,ATTR3_49_PADDING,2071220554194
T_00,97,ATTR2_00,ATTR3_10_PADDING,2071798022079
T_00,144,ATTR2_21,ATTR3_00_PADDING,2055974237249
T_00,353,ATTR2_07,ATTR3_05_PADDING,2088376778025
T_01,617,ATTR2_24,ATTR3_12_PADDING,2082108815250
T_00,812,ATTR2_14,ATTR3_13_PADDING,2046386897629
T_00,851,ATTR2_45,ATTR3_37_PADDING,2054229397774
T_03,706,ATTR2_47,ATTR3_00_PADDING,2069585332677
T_02,940,ATTR2_48,ATTR3_47_PADDING,2087751223526
T_04,204,ATTR2_12,ATTR3_39_PADDING,2055927641352
T_10,984,ATTR2_39,ATTR3_01_PADDING,2053407035798
T_02,853,ATTR2_34,ATTR3_17_PADDING,2057844790914
T_04,920,ATTR2_37,ATTR3_11_PADDING,2044295382057
T_01,897,ATTR2_29,ATTR3_06_PADDING,2050972175346
